id,name
528,chamber ensemble
529,israeli hip hop
530,nuevo tango
531,slack-key guitar
532,russian post-rock
533,desi hip hop
534,classical organ
535,japanese disney
536,chinese minyao
537,texas punk
538,r&b brasileiro
539,indie pop
540,deep funk house
541,histoire pour enfants
542,classic canadian rock
543,belarusian indie
544,zouk
545,deep new americana
546,vaqueiro
547,enka
548,harmonica jazz
549,symphonic metal
550,broadway
551,syro-aramaic chant
552,fuji
553,cumbia uruguaya
554,musica valenciana
555,spa
556,italian death metal
557,german indie rock
558,ukhc
559,plunder
560,greek hip hop
561,african rock
562,japanese electronic
563,movie tunes
564,taiwan hip hop
565,serbian folk
566,new french touch
567,nordic soundtrack
568,funky tech house
569,ranchera
570,neo-kraut
571,freak folk
572,afghan pop
573,black metal
574,folklore nuevo argentino
575,chaotic black metal
576,nwobhm
577,swedish choir
578,belgian contemporary classical
579,hardcore
580,south african rock
581,neo r&b
582,olympia wa indie
583,neo-crust
584,j-division
585,kora
586,mongolian hip hop
587,ukrainian rock
588,austrian pop
589,czsk hip hop
590,montreal indie
591,viola caipira
592,truck-driving country
593,japanese alternative rock
594,proto-techno
595,instrumental bluegrass
596,stuttgart indie
597,deep gothic post-punk
598,carnaval
599,ukg revival
600,welsh rock
601,chillstep
602,indie rock
603,country rock
604,minimal melodic techno
605,rebel blues
606,swedish country
607,depressive black metal
608,arkansas indie
609,classical performance
610,swiss techno
611,deep psytrance
612,vlaamse kinderliedje
613,musica canaria
614,video game music
615,emocore
616,deep latin alternative
617,amapiano
618,norwegian black metal
619,vispop
620,colombian electronic
621,albany ny indie
622,terrorcore
623,atmospheric doom
624,latin house
625,carnaval cadiz
626,experimental percussion
627,connecticut indie
628,indian edm
629,historically informed performance
630,shred
631,turkish pop
632,brazilian punk
633,trap espanol
634,vintage italian soundtrack
635,knoxville indie
636,coupe decale
637,denton tx indie
638,japanese chillhop
639,indonesian punk
640,dutch disney
641,rap maroc
642,japanese power metal
643,australian children's music
644,venezuelan hip hop
645,hampton roads indie
646,rumba catalana
647,drift
