artist_id,genre_id
2711,669
2358,734
2358,562
4160,2671
2719,1020
7477,3576
7477,2975
21283,1949
21283,3332
18641,1122
18641,3413
18641,3640
601,3653
601,2721
601,2662
601,3615
601,1801
19758,943
15200,2521
15200,3044
15200,2451
15200,2566
15044,1005
15044,1346
15044,1599
15044,756
11267,3730
11267,3122
11267,1903
3891,1270
3891,1756
3891,138
3891,219
3891,2425
3891,3169
3891,3662
3891,1350
3891,3160
15250,3348
22488,1214
21069,3006
21069,3822
21069,1530
10079,2165
10079,2635
14716,3522
14716,3155
14716,768
14716,1333
14716,3126
14716,2631
6837,1036
6837,3215
6837,2818
3135,1550
3135,928
3135,2287
3135,1225
3135,2042
15023,3488
15023,1477
15023,2216
12598,1047
6338,3442
4051,3013
4051,3096
17720,1055
17720,1283
17720,2675
17720,2294
17720,1214
17720,2814
17720,1105
17720,543
20974,3138
14990,2019
14990,2619
14990,2942
14990,2521
14990,903
6447,1699
6447,1599
13596,794
13596,2668
13596,178
13596,954
23806,220
932,811
932,575
932,484
932,1495
10446,2268
7700,2999
7700,135
7700,3763
7700,396
7700,1985
7700,3594
23137,1153
23137,3566
23137,3635
23137,2294
23137,940
23137,507
23137,2214
23137,2452
12601,3418
4499,3007
4499,865
4499,3497
16539,3745
16539,3142
16539,3660
16539,2368
16539,3336
7971,1011
7971,3403
3693,911
3693,2829
3693,1388
6242,1812
6242,1906
22611,1055
22611,1283
22611,1481
22611,996
22611,2814
22611,1105
22611,502
22611,543
9574,86
4397,2404
4397,3130
4397,893
2207,1192
2207,1865
2207,2214
2207,1148
16279,2019
16279,2656
16279,666
16279,3241
16279,2842
16953,3348
176,105
176,2978
176,2887
489,1158
489,2896
489,1011
489,75
489,936
19973,2808
19973,844
19973,2518
14228,3635
14228,1011
14228,2452
14228,3100
14228,299
8513,1949
662,1734
662,2896
662,2566
662,2561
662,3269
20930,1824
20930,719
20930,669
20930,621
20930,3000
18840,1005
18840,1346
18840,1835
3474,3497
3474,1126
3474,3800
11132,865
17802,811
17802,575
17802,3598
17802,2193
17802,1947
17802,484
17802,1495
14247,3713
17145,2391
17145,52
3607,2009
3607,1100
13786,600
13786,2670
13786,1671
9565,731
9565,1846
9565,2986
17221,348
17221,1126
6290,1722
6290,300
9641,3557
9641,1252
1599,1314
1599,2913
1599,3258
1692,1621
1692,3172
19398,1047
20374,1055
20374,2675
20374,2294
20374,940
20374,1214
20374,3577
20374,2814
20374,1312
20374,1836
3057,3158
3057,3730
3057,1903
15049,2987
15049,73
11869,891
11869,3097
11869,478
20840,3404
20840,1474
20840,1936
20840,1034
7261,2391
7261,2040
7778,374
7778,3336
22561,1526
22561,2539
22561,667
22561,1543
22561,3134
