name,x,y,z,id,pagerank,cluster_id,parent_id,parent_name
japanese chillhop,-2.4000508999999997,9.596943,-9.239017,734,0.000127575,1,1214,hip hop
minnesota hip hop,-1.0776682,14.325616,-10.5904255,914,0.00011271399999999999,1,1214,hip hop
chicago drill,3.682936,16.613815,-10.674782,2927,0.00011263899999999999,1,1214,hip hop
nyc rap,1.4068508999999998,13.849607,-11.819977,781,0.000111502,1,1214,hip hop
bc underground hip hop,3.3172642999999997,13.464531,-7.242189,466,0.000111377,1,1214,hip hop
dmv rap,1.9163021,14.115085999999998,-10.047310000000001,3647,0.00010753399999999999,1,1214,hip hop
baton rouge rap,5.2817807,14.779471,-12.449563000000001,455,0.000107304,1,1214,hip hop
scream rap,4.336511,11.065097,-9.911708,322,0.00010464,1,1214,hip hop
nc hip hop,0.9840324,14.349847,-10.226557000000001,3754,0.00010203,1,1214,hip hop
abstract beats,-2.5861619,10.960376,-8.368849,2826,0.000101822,1,1214,hip hop
boston hip hop,-0.28148443,13.870346,-11.951889999999999,791,0.000101654,1,1214,hip hop
bounce,5.9944205,14.788625,-11.682899,3002,0.000101532,1,1214,hip hop
jazz,18.423513,-3.8659098,-6.10113,267,0.001659425,2,267,jazz
contemporary post-bop,18.156681,-4.571214,-6.8781548,2459,0.0015601010000000002,2,267,jazz
cool jazz,19.042536,-3.4405862999999997,-6.7763367,1233,0.001548099,2,267,jazz
bebop,18.454279999999997,-3.0174467999999997,-6.9939556,2752,0.001450422,2,267,jazz
jazz fusion,19.404245,-5.34689,-6.7586536,219,0.001381686,2,267,jazz
vocal jazz,18.954922,-1.805468,-4.5739884,2633,0.001381417,2,267,jazz
jazz funk,19.48799,-4.2123647,-8.7776,1648,0.0011801630000000001,2,267,jazz
lounge,18.030312,-1.1001996,-3.9713008000000003,1717,0.001165997,2,267,jazz
hard bop,17.854254,-3.7409922999999994,-7.2822766,2257,0.001043789,2,267,jazz
soul jazz,18.662933,-3.884262,-7.9680815,3346,0.0009994119999999999,2,267,jazz
big band,18.043055,-2.3041697,-6.2762150000000005,478,0.0008047589999999999,2,267,jazz
swing,18.015154000000003,-1.9792823,-5.1358347,169,0.000762671,2,267,jazz
stride,17.406681,-3.0128906000000004,-6.264418,2666,0.000684406,2,267,jazz
easy listening,16.962614000000002,-0.89527947,-4.093852500000001,1015,0.0006155980000000001,2,267,jazz
jazz saxophone,17.13653,-3.757268,-7.951535000000001,1075,0.000511731,2,267,jazz
jazz piano,17.933975,-2.2612183,-8.109562,1506,0.000487466,2,267,jazz
free jazz,16.953266,-4.928228400000001,-7.1326985,2336,0.000478674,2,267,jazz
jazz trumpet,16.76534,-2.5340664,-8.684508000000001,891,0.000451605,2,267,jazz
french jazz,14.873351999999999,-3.5316896,-9.788604,2414,0.000262769,2,267,jazz
jazz trio,15.787149,-3.3399117,-7.3293734,3791,0.00024355099999999997,2,267,jazz
jazz blues,18.022133,2.1333794999999998,-6.2177305,2355,0.000232455,2,267,jazz
contemporary vocal jazz,15.470335,-1.2208245,-5.0542135,3182,0.00021202599999999998,2,267,jazz
torch song,16.304823000000003,-0.8716155000000001,-4.905162000000001,1162,0.000210117,2,267,jazz
rock,18.676035,4.62332,7.115117999999999,2019,0.006100348,3,2019,rock
indie rock,4.51484,16.811047,7.63178,666,0.004934892,3,2019,rock
indie pop,0.10322892,19.181355,4.55293,627,0.004432276,3,2019,rock
modern rock,-3.297775,14.962842000000002,8.949147,2619,0.004200674000000001,3,2019,rock
indietronica,-1.9797584,18.982592,4.636241,1225,0.004178575,3,2019,rock
indie folk,7.6301627000000005,15.143339000000001,3.5775216,1127,0.003825517,3,2019,rock
alternative rock,6.0327983,17.354708,11.609193,2626,0.0037763090000000003,3,2019,rock
art pop,3.440403,19.758952999999998,7.124244999999999,1640,0.003633129,3,2019,rock
chamber pop,7.205041400000001,15.959638,4.4032707,1987,0.003614782,3,2019,rock
folk rock,17.179966,5.6762046999999995,3.160541,11,0.00330355,3,2019,rock
metal,12.817802,-0.9780015999999999,15.179784,1883,0.0031875270000000003,3,2019,rock
electropop,-3.2358312999999996,18.38327,4.1130996,1091,0.0031737320000000003,3,2019,rock
alternative metal,12.524234,0.7144732,18.542261,752,0.003088387,3,2019,rock
mellow gold,17.247770000000003,4.7764854,3.688217,2065,0.00302177,3,2019,rock
art rock,16.499762,6.8452053,8.426109,1350,0.0029811209999999998,3,2019,rock
classic rock,17.54992,5.4201635999999995,5.712680000000001,2588,0.002940554,3,2019,rock
country rock,16.909912,7.153288400000001,3.8450568,667,0.0028445109999999997,3,2019,rock
freak folk,5.3474827000000005,17.897089,6.9635754,654,0.0028011729999999997,3,2019,rock
album rock,17.706573000000002,4.3100046999999995,6.3087615999999995,3160,0.002791371,3,2019,rock
stomp and holler,7.532769,14.823714,3.3936013999999997,1734,0.002710438,3,2019,rock
pop rock,8.512948,5.010697,2.8385866,2896,0.002699226,3,2019,rock
soft rock,17.311047,4.2855096,3.5630007000000004,2623,0.002695287,3,2019,rock
roots rock,16.145220000000002,7.93832,3.6681190000000004,446,0.0026857659999999996,3,2019,rock
hard rock,18.159561,3.3645508,6.868263000000001,2425,0.002672755,3,2019,rock
noise pop,5.117164,17.841934,8.625964999999999,372,0.002593991,3,2019,rock
dance rock,14.736994000000001,10.743277,11.116016,2683,0.0025762289999999998,3,2019,rock
garage rock,5.7383604,17.645001999999998,12.828682,3241,0.002568729,3,2019,rock
folk,15.860195000000001,7.744475,2.6340253,1344,0.002453721,3,2019,rock
dream pop,4.806375,18.638994,8.258647,390,0.00235514,3,2019,rock
groove metal,12.450313000000001,-0.21722642,17.004667,2109,0.002289941,3,2019,rock
post-grunge,12.148674,0.54247653,19.441315,2380,0.002210145,3,2019,rock
small room,12.703519,1.0748271,18.660269,1045,0.00217061,3,2019,rock
new rave,-0.7238017,19.038261,7.4731765,918,0.002163528,3,2019,rock
new americana,8.6616,13.916185,2.311974,151,0.00208561,3,2019,rock
indie poptimism,-4.2805753,17.709541,3.6725101,962,0.002040293,3,2019,rock
new wave pop,15.362964000000002,11.12979,12.187345,3453,0.002026103,3,2019,rock
modern alternative rock,-3.3421662000000003,14.860979,8.939333999999999,2942,0.00200239,3,2019,rock
dance-punk,-0.5788625,19.070349,8.077369000000001,1109,0.001967324,3,2019,rock
new wave,14.417421,11.142752999999999,11.2697,1755,0.001957576,3,2019,rock
experimental pop,3.101566,19.231279999999998,6.949585400000001,1827,0.001944041,3,2019,rock
blues rock,18.686716,6.1681066,5.7188263,785,0.001937098,3,2019,rock
punk,7.5442834,8.34406,14.684733,3153,0.0019348820000000002,3,2019,rock
lo-fi,5.9074764,17.15663,8.912409,3610,0.001855342,3,2019,rock
neo mellow,7.1899204,4.4524007,1.9939523000000001,75,0.001753756,3,2019,rock
melodic metalcore,2.958199,5.2563767,19.688871,19,0.001715674,3,2019,rock
metalcore,2.8456943,5.4237127,19.641165,2958,0.0016922179999999999,3,2019,rock
traditional folk,15.658266000000001,8.367469999999999,2.6076422000000004,482,0.001683729,3,2019,rock
power metal,12.456019,-2.0402691,13.635664000000002,3347,0.001663553,3,2019,rock
speed metal,12.078562,-0.87999475,14.5550165,2124,0.001648474,3,2019,rock
progressive metal,12.933736,-1.191656,13.352026,3237,0.0016186929999999998,3,2019,rock
pop punk,0.7571886999999999,9.983056,14.464267000000001,2097,0.001609065,3,2019,rock
psychedelic rock,16.780279999999998,6.308764,6.9064145,3250,0.001568172,3,2019,rock
chamber psych,4.0531440000000005,19.224293,6.668283,2564,0.0015055029999999998,3,2019,rock
slow core,6.346076999999999,17.657026000000002,7.849603699999999,827,0.001491806,3,2019,rock
vapor soul,-3.9287186000000003,18.394545,2.6637952,1550,0.001471031,3,2019,rock
new romantic,14.761760999999998,11.502038,12.068292999999999,3443,0.001414678,3,2019,rock
experimental rock,6.612791499999999,19.123976000000003,9.282289,2302,0.001367884,3,2019,rock
death metal,10.776014,-1.6607151000000002,16.073942000000002,2246,0.001357938,3,2019,rock
nu gaze,3.6034636,18.085169,8.19281,1008,0.0013145820000000001,3,2019,rock
singer-songwriter,15.017787,8.012364,2.9352734000000003,2968,0.001293469,3,2019,rock
shimmer pop,-0.91814077,18.638702,4.581228,928,0.001249654,3,2019,rock
rap rock,13.632814000000002,1.621073,19.47514,1177,0.001224122,3,2019,rock
alternative country,14.887163000000001,9.36234,2.7208776,764,0.001177013,3,2019,rock
post-punk,12.887798,10.172127,10.386892,3644,0.001167863,3,2019,rock
emo,2.1875541000000003,10.669689,14.308703,1524,0.00116178,3,2019,rock
indiecoustica,5.9318523,3.6247602,1.5133743,2829,0.001125982,3,2019,rock
anti-folk,6.412897599999999,16.23612,8.558463,2859,0.001102513,3,2019,rock
permanent wave,15.0336685,10.305046,9.646581,2800,0.001073929,3,2019,rock
melancholia,7.332248700000001,17.321762,7.2633424,1758,0.0010632880000000001,3,2019,rock
classic uk pop,17.351871,4.1741576,2.1409624,3561,0.001057086,3,2019,rock
screamo,2.5607214,9.675061999999999,16.238979999999998,2108,0.001055707,3,2019,rock
tone,6.9531149999999995,19.503232999999998,9.377726,1390,0.001045422,3,2019,rock
deep new americana,8.057573,13.541594,2.57386,633,0.001025391,3,2019,rock
rock-and-roll,17.441177,3.0775712000000004,-1.3199358,1260,0.001005643,3,2019,rock
metropopolis,-2.257215,17.479124,4.6522393,2287,0.000993151,3,2019,rock
trap queen,3.0917652,9.9843855,16.306461,1038,0.0009847319999999999,3,2019,rock
industrial metal,13.395488,2.7978985,18.375374,155,0.000968386,3,2019,rock
neo classical metal,12.507592,-1.3820611999999999,12.637896000000001,3473,0.000953438,3,2019,rock
skate punk,6.1995726,8.547715,13.887552,237,0.000950797,3,2019,rock
neo-psychedelic,3.6897987999999997,18.241954999999997,3.7776842000000004,985,0.000932585,3,2019,rock
bubblegum pop,17.588915,3.3631477,-0.07526187599999999,2478,0.00093253,3,2019,rock
industrial rock,13.690484,3.9244988,17.766296,2997,0.000912921,3,2019,rock
melodic death metal,9.860242,-3.633657,15.419728,298,0.000909255,3,2019,rock
power pop,14.720995000000002,8.958418,9.194734,1446,0.0008897730000000001,3,2019,rock
lilith,9.786154,6.776260000000001,3.2153650000000003,2948,0.0008590439999999999,3,2019,rock
indie garage rock,3.6698377,18.411238,3.0517847999999996,994,0.000857465,3,2019,rock
jam band,10.352847,12.819785000000001,0.52224946,1740,0.000838208,3,2019,rock
acoustic pop,6.3393764,4.0128010000000005,1.6567113000000002,936,0.000824886,3,2019,rock
indie punk,3.9013577000000006,12.307801,12.783308,3190,0.0008223519999999999,3,2019,rock
indie anthem-folk,4.304213,6.83334,1.9241571,2521,0.000820577,3,2019,rock
noise rock,5.617662999999999,17.426,10.0400095,2513,0.000811019,3,2019,rock
post-screamo,1.8752936999999998,6.6789412,18.336782,3418,0.000807552,3,2019,rock
electric blues,19.780260000000002,6.890169599999999,5.257975,2615,0.000799668,3,2019,rock
modern blues rock,20.433119,8.698091,6.3185142999999995,2656,0.000796268,3,2019,rock
melodic hardcore,5.390353,8.857163,14.667384,3751,0.00078004,3,2019,rock
melodic metal,11.956610000000001,-2.3063032999999997,12.911988000000001,3750,0.000776459,3,2019,rock
viking metal,9.103085499999999,-4.3736343,14.908645000000002,2930,0.000772674,3,2019,rock
symphonic rock,15.999603,3.9486175,8.049009,1270,0.000767404,3,2019,rock
thrash metal,11.251095,-0.41017485,14.965760000000001,3206,0.000766737,3,2019,rock
indie electropop,-4.1681094,17.753168,2.5386412,332,0.0007652389999999999,3,2019,rock
heartland rock,16.14702,6.287569,4.5215034,2894,0.000762103,3,2019,rock
alternative emo,2.6521564,10.933525999999999,12.907634,1981,0.000744822,3,2019,rock
progressive bluegrass,9.135174000000001,12.42417,0.26378033,3399,0.000744683,3,2019,rock
canadian indie,9.118791,12.041758999999999,5.97452,2561,0.000742277,3,2019,rock
stoner rock,7.7956905,1.9708129,20.419147,412,0.0007276930000000001,3,2019,rock
celtic,6.1546392,5.4436480000000005,7.967082,1138,0.000720123,3,2019,rock
punk blues,5.7103167,17.688523999999997,13.093739999999999,3815,0.000717183,3,2019,rock
deathcore,3.1907064999999997,3.9955997,18.348804,471,0.00070345,3,2019,rock
blues,20.181504999999998,7.040864,4.6417108,2957,0.000703142,3,2019,rock
synthpop,14.148641,11.437562,12.411869,6,0.000699702,3,2019,rock
gothic metal,11.807709,-4.4617543,13.612023,1680,0.0006973839999999999,3,2019,rock
shoegaze,4.610086,18.216545,9.379031,2228,0.000694233,3,2019,rock
britpop,10.736546,13.128103,11.090456,3138,0.000687714,3,2019,rock
protopunk,15.557166,7.512633,8.120363000000001,3597,0.000682535,3,2019,rock
modern blues,19.951926999999998,7.7412806,5.511985299999999,1051,0.000638342,3,2019,rock
stoner metal,7.655892999999999,2.0796368000000003,19.98666,2502,0.000623681,3,2019,rock
german metal,6.938788000000001,-4.171457,14.979281,327,0.0006232480000000001,3,2019,rock
rockabilly,16.831888,3.404218,-1.4895622,3327,0.000614971,3,2019,rock
glam metal,11.927947,3.6079392,13.131062,570,0.000609727,3,2019,rock
sludge metal,6.8932595,2.055291,19.935791000000002,3144,0.000596708,3,2019,rock
symphonic metal,11.815463000000001,-4.2432099999999995,12.776939,637,0.000596435,3,2019,rock
ska punk,6.5586839999999995,8.893979,13.476476000000002,1288,0.0005887980000000001,3,2019,rock
irish folk,5.956214,5.5918155,8.003973,3762,0.00058341,3,2019,rock
old school thrash,11.021673,-0.19565594,14.931756,972,0.000582873,3,2019,rock
neon pop punk,-0.20248176,9.525917,13.8079195,1111,0.000576991,3,2019,rock
djent,4.0177307,3.2549083,19.044538,3612,0.00057221,3,2019,rock
piano rock,8.741311,5.178256,2.968571,1347,0.0005607019999999999,3,2019,rock
pixie,-0.39422897,8.685956,14.571568,3772,0.000554999,3,2019,rock
comedy,2.9799835999999997,-1.3634641,9.163091,1520,0.000554724,3,2019,rock
folk metal,7.9379277,-4.650833,14.739719000000001,2577,0.0005454559999999999,3,2019,rock
celtic rock,6.778374,5.668612,9.258984,1169,0.0005413659999999999,3,2019,rock
anthem emo,2.2906067,10.122626,12.584617999999999,2058,0.00053811,3,2019,rock
bluegrass,8.890226,12.153044,-0.07106071,1183,0.000537637,3,2019,rock
progressive rock,15.718997,3.6954214999999997,8.206501,1756,0.000537041,3,2019,rock
folk-pop,5.2420297,6.0378375,1.6508485000000002,2566,0.000529411,3,2019,rock
pop emo,-0.087032825,9.05175,14.260101,1132,0.000522176,3,2019,rock
gothic symphonic metal,11.567305000000001,-4.4695883,12.83038,1383,0.000514505,3,2019,rock
neue deutsche harte,6.125199299999999,-5.460384400000001,14.716678,1229,0.0005139480000000001,3,2019,rock
pub rock,14.926739999999999,7.9812965,8.528169,2780,0.000509364,3,2019,rock
hardcore punk,7.4213786,7.710157000000001,14.175828,836,0.000501415,3,2019,rock
english indie rock,-3.5192339999999995,12.0843115,8.452872,903,0.000499956,3,2019,rock
rap metal,13.045816,2.052454,19.390705,1219,0.000498601,3,2019,rock
neo-synthpop,-1.5709828000000001,17.091719,5.6666517,32,0.000491985,3,2019,rock
swedish metal,10.1279,-2.959772,16.170177,2393,0.000489584,3,2019,rock
slayer,12.537609,-5.1501584000000005,13.258061999999999,997,0.000487935,3,2019,rock
alternative pop,6.4878907,15.892742000000002,10.493018,1553,0.000482765,3,2019,rock
post-metal,6.1230483,2.260859,19.600285999999997,1753,0.00048173300000000003,3,2019,rock
merseybeat,16.805229999999998,3.3863342000000003,-0.017269913,3251,0.000472795,3,2019,rock
baroque pop,4.949919,15.846651000000001,6.798207799999999,808,0.000465666,3,2019,rock
medieval folk,5.3106894,-6.9530573,12.721731,326,0.000455501,3,2019,rock
grunge,10.884814,2.2070522,19.94556,983,0.000436604,3,2019,rock
british blues,17.858439999999998,6.446553700000001,6.15372,3733,0.000431055,3,2019,rock
industrial,13.781495999999999,4.2489724,17.596579000000002,2035,0.000429805,3,2019,rock
southern rock,17.827147,6.85928,5.091181,1526,0.000420756,3,2019,rock
jangle pop,14.468623000000001,9.242602,9.409355,823,0.000416937,3,2019,rock
funk metal,12.103261,2.126862,20.023638000000002,2714,0.000415945,3,2019,rock
canadian rock,10.953349000000001,10.934901,6.402297,3277,0.000413422,3,2019,rock
yacht rock,16.522370000000002,3.813704,3.7365193,3562,0.000411101,3,2019,rock
finnish metal,10.484182,-5.0829115,15.54901,392,0.000396088,3,2019,rock
uk post-punk,12.099260000000001,10.422806,10.895187,729,0.000395511,3,2019,rock
canadian singer-songwriter,9.925372,8.546097999999999,3.7326542999999996,2705,0.00039541099999999997,3,2019,rock
traditional blues,20.941185,6.9118566999999995,4.241167,357,0.000394884,3,2019,rock
dreamo,2.0604587,11.086227000000001,14.960914,506,0.000394817,3,2019,rock
la indie,0.3552861,18.078526999999998,3.8384671000000004,2794,0.000383625,3,2019,rock
